Place,pH,pH (Cls) ,EC,EC (Cls) ,OC,OC (Cls) ,N,N (Cls) ,P,P (Cls) ,K,K( Cls) ,S,S (Cls) ,Zn,Zn (Cls) ,Fe,Fe (Cls) ,Cu,Cu( Cls) ,Mn,Mn (Cls) ,B,B( C ls) ,Suitable crop
,,,,,,,,,,,,,,,,,,,,,,,,,
coonoor,5.200, HAc,0.360,N   ,1.170,VH,7.000,VL,33.000,M ,320.000,M ,13.000,S,0.630,S,15.180,S,0.980,S,6.120,S,12.000,S,potato
coonoor,4.800, HAc,0.330,N   ,1.030,VH,,,16.000,L ,138.000,L ,7.500,D,2.040,S,27.380,S,1.860,S,18.370,S,2.000,S,potato
coonoor,5.100, HAc,0.460,N   ,0.450,L ,113.400,VL,33.000,M ,310.000,M ,13.000,S,0.650,S,15.800,S,1.100,S,7.260,S,12.000,S,potato
coonoor,5.400, HAc,0.540,N   ,0.690,M ,92.400,VL,52.000,M ,260.000,M ,13.000,S,0.960,S,16.200,S,1.220,S,7.240,S,12.000,S,potato
coonoor,5.200, HAc,0.520,N   ,0.900,H ,75.600,VL,65.000,H ,300.000,M ,13.000,S,0.820,S,16.920,S,0.820,S,6.600,S,12.000,S,potato
coonoor,5.400, HAc,0.520,N   ,0.900,H ,128.800,VL,33.000,M ,310.000,M ,13.000,S,0.980,S,16.900,S,1.320,S,6.300,S,12.000,S,potato
coonoor,4.900, HAc,0.480,N   ,0.600,M ,70.000,VL,22.000,L ,270.000,M ,0.500,D,0.910,S,15.820,S,1.240,S,6.820,S,0.500,D,potato
coonoor,5.200, HAc,0.640,N   ,0.990,H ,84.000,VL,44.000,M ,270.000,M ,13.000,S,0.860,S,15.820,S,0.980,S,7.260,S,12.000,S,potato
coonoor,5.000, HAc,0.460,N   ,1.500,VH,120.400,VL,44.000,M ,300.000,M ,13.000,S,0.760,S,16.940,S,1.260,S,6.600,S,12.000,S,potato
coonoor,5.000, HAc,0.520,N   ,1.500,VH,120.400,VL,44.000,M ,300.000,M ,13.000,S,0.760,S,16.940,S,1.260,S,6.600,S,12.000,S,potato
coonoor,5.200, HAc,0.640,N   ,0.990,H ,84.000,VL,44.000,M ,270.000,M ,13.000,S,0.860,S,15.820,S,0.980,S,7.260,S,12.000,S,potato
coonoor,5.100, HAc,0.370,N   ,0.900,H ,57.400,VL,52.000,M ,205.000,M ,13.000,S,0.960,S,45.150,S,0.960,S,6.160,S,2.000,S,potato
coonoor,5.100, HAc,0.370,N   ,0.900,H ,57.400,VL,52.000,M ,205.000,M ,13.000,S,0.960,S,45.150,S,0.960,S,6.160,S,12.000,S,potato
coonoor,5.000, HAc,0.370,N   ,0.750,M ,119.000,VL,22.000,L ,215.000,M ,13.000,S,0.960,S,15.260,S,0.820,S,6.220,S,12.000,S,potato
coonoor,4.900, HAc,0.430,N   ,1.050,VH,127.000,VL,11.000,VL,151.000,M ,13.000,S,0.980,S,16.100,S,1.100,S,7.240,S,0.500,D,potato
coonoor,5.400, HAc,0.540,N   ,1.050,VH,127.000,VL,11.000,VL,151.000,M ,13.000,S,0.980,S,16.100,S,1.100,S,7.240,S,0.500,D,potato
coonoor,5.400, HAc,0.430,N   ,0.990,H ,126.000,VL,52.000,M ,117.000,L ,13.000,S,0.960,S,15.220,S,1.260,S,8.220,S,12.000,S,potato
coonoor,5.200, HAc,0.180,N   ,0.840,H ,109.200,VL,65.000,H ,227.000,M ,13.000,S,0.640,S,12.960,S,0.980,S,13.220,S,12.000,S,potato
coonoor,5.200, HAc,0.150,N   ,0.840,H ,109.200,VL,65.000,H ,227.000,M ,13.000,S,0.640,S,12.960,S,0.980,S,13.220,S,12.000,S,potato
coonoor,5.200, HAc,0.240,N   ,0.900,H ,756.000,VH,44.000,M ,169.000,M ,30.000,S,0.820,S,12.200,S,0.940,S,11.100,S,12.000,S,potato
coonoor,4.800, HAc,0.100,N   ,1.140,VH,117.600,VL,22.000,L ,255.000,M ,5.000,D,0.960,S,12.240,S,1.240,S,11.220,S,12.000,S,potato
